sampleID,d15N,d13C
8YsBtW+LzBa+g+bV8jyHnnF3zuLbFzIxRiqSW3MNAjA=,-4.4,-29.9
8YsBtW+LzBarmyPXj2p36TEqS4grP2lMzdHKTfltXWk=,-4.2,-32.1
8YsBtW+LzBa4Jrx76Su1MKhWFH7r1cgzNQ4wHLLe5r0=,-4,-31.3
8YsBtW+LzBaw+Vou2Ne0ziiKT3sh5As+UgWJGejY4Mg=,-2.8,-30.7
8YsBtW+LzBaw+Vou2Ne0zhP6Vh3CibOOjaKJ7s6H9Xk=,-2.1,-30.4
8YsBtW+LzBY5k6dHh5HSWsN9G8ZmMR15XvFAgaStn5s=,-4.8,-28.8
8YsBtW+LzBbzNnpsjyZuYPZpNluJsgBLQG32p6Si7UY=,-5.4,-30.7
8YsBtW+LzBaere+XsE42kwpqDVIKcVh4kxUYMNvXUdM=,-5,-29.5
8YsBtW+LzBaere+XsE42kwpqDVIKcVh4kxUYMNvXUdM=,-5.3,-29.6
8YsBtW+LzBaere+XsE42kxN8xKzPF2IYkjVQYk7bJ4g=,-7,-28.4
8YsBtW+LzBb6ybUeRQ+qMZiOLK6D+FBhJh3D1UnpD8c=,-2.8,-28.5
8YsBtW+LzBZV0iGplBv6sJJCqYV5ZcINt934npZ4d3I=,-2.2,-28.8
8YsBtW+LzBZV0iGplBv6sC1NeaAq38tlzZ/HsE7sSEc=,-4.5,-28.2
8YsBtW+LzBaQ7O+R2ZAqFV8+AcgK4/RCsIQM8EXIKK8=,-0.7,-30.6
8YsBtW+LzBbGKNGIqrsupt9og6Jj+7oZYBE2yxTwgA8=,-4.1,-29.6
8YsBtW+LzBbGKNGIqrsupjZObgpMMq2lo7SewIarDBU=,-2.3,-29.2
8YsBtW+LzBZgU626mfJPgQx4+Z746t5oiig8MAL1n8Y=,-3.3,-29.4
8YsBtW+LzBY4UA7K5P8oFrFyEYB5k/RVGZJzeQ656xc=,-3.6,-30.2
8YsBtW+LzBZgU626mfJPgWec1/7WFC24EA+8PEUBrrg=,-2,-30.3
xZ/4LGAq2g5RAbC90CFX05C/iONIwkH2V5OYKgGohSc=,0.6,-26.7
xZ/4LGAq2g5NM+G6kbU3sw96yUdUfvrt82PnLRxK9Pg=,-1.8,-16.4
xZ/4LGAq2g625hRtYPCK3nFi3gGfPNepkwWPNpIfYFs=,-0.4,-25.4
xZ/4LGAq2g7s0BFr7jQjhrHnd3mW1OXxTX6YMO8XwPw=,2.9,-27.8
xZ/4LGAq2g67m1KX+4fS/U/0naalVs0/l+KfaPe5Wjo=,0.8,-26
xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQ6ZjM6mutTUM=,-1.9,-26.1
xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQ6ZjM6mutTUM=,-2.1,-26.1
xZ/4LGAq2g5Rur2MuF0BDdvtUvI2rTmpGu++T/p6/ws=,0.6,-26.6
xZ/4LGAq2g6CJ8QaAy8llpSgItxwBWxDm1rOJ4cSVMo=,6.2,-27.9
xZ/4LGAq2g6obzXPzJjcva8hhqvo4PiSfXYArcdTIMY=,-2.1,-18.7
xZ/4LGAq2g6Tiw5iTs+UINI2H1BeT5B+LYqXCEoT9N4=,2.8,-27.5
xZ/4LGAq2g63XXbJ/Ii4dHcg0n0X2zu/zdKkjj1cjw0=,-0.5,-26.7
xZ/4LGAq2g7nI++B8hJ/ggdLF5QTx8J+vIUHMLMZkWw=,-1.4,-27.8
xZ/4LGAq2g6TUwymTuahBndw9PBe2/9da5OreM0Y9xQ=,3,-27.9
xZ/4LGAq2g5ElX3sDmMFmefRCJQqchVSZ5Z6afiNww8=,2.8,-29
xZ/4LGAq2g6Qj6dihqFckCd5WSebmQ+FKoAnT/HohM8=,-1.7,-26.9
xZ/4LGAq2g6QiY+I5gtun3dYjebp/p8RDSHmr3NJdIE=,2.8,-28.2
xZ/4LGAq2g7M7/vSyUFd04WP3d3hJV0C8i0fVj82+8A=,0,-27.1
xZ/4LGAq2g5ZG/Idao9B4YBFui1U5X9FD+PEX1XY0Wc=,4.1,-27.5
xZ/4LGAq2g62z+5tzOwCpYBtRXM3dEnBr2V2RNwLeqo=,0.2,-27.1
xZ/4LGAq2g5beUPdIU14aIJFb2LGeja8hJsv3Ic1nN4=,4.2,-27.4
5NSA7+zQmwmq3PzMF3tvNou9DNJOAwNDpHfUJCFUwUU=,5.3,-14.2
5NSA7+zQmwldJrBHkMEqRhpWBxoRRuWugRVW9kCQeEM=,4.7,-13.9
5NSA7+zQmwkfKAitIJGEGKMwoM4EzIUO8ad81jR9BYI=,5.3,-13.8
5NSA7+zQmwnT0mEu3GquvsZ6CougIlREgcIdQX2AuvU=,3.6,-14.7
5NSA7+zQmwmZb0Blc0RH07RIzKwRjIbthXNthRNqSfE=,2.7,-28.6
5NSA7+zQmwngghHiif86VyBFcqFEtYYyv2ciTlnKq8o=,1.9,-28.3
5NSA7+zQmwmmpvTkFPxGzLJMaWO9/+feqD8WSwgFMug=,4.8,-15.7
5NSA7+zQmwkZurTm+o8jt7sjBXYpsMJGd1RGt29RARU=,1.2,-27
5NSA7+zQmwkZurTm+o8jt7sjBXYpsMJGd1RGt29RARU=,2.1,-26.9
5NSA7+zQmwnmHlDFEtR3NtY2hI4WPo9Fo8DcfG0MqSI=,4.2,-20.4
5NSA7+zQmwn9hZ7i/Ee93BhR0VxhewiLKlO+DrK19lo=,1.5,-28
5NSA7+zQmwlQog/R+CrCTVKdgFMt81J9PRm9Uz/Vq7o=,4.1,-27.3
5NSA7+zQmwnsu5pQmxngFT8m+5ezdJHMKzrHqvIwEpI=,3.2,-26.9
S9R44vg6v28kwEsUGHI0enoXYCfg7RIL05vYOVi3TTg=,2,-15.7
S9R44vg6v2+IojQAoA3EV7FaCqM7nwPN744PJHKhhAQ=,2.2,-15.3
S9R44vg6v2+IojQAoA3EV7FaCqM7nwPN744PJHKhhAQ=,2.1,-15.2
S9R44vg6v2+pbBt1VnwnmZovHsx9Mz5wxzF9bGfySJI=,-4.7,-23.6
S9R44vg6v2+pbBt1Vnwnmfa1JJaWIQDYnwmGkrP5jK8=,-5.4,-24.7
S9R44vg6v28Ulz9XyZYlkYUtUIBo+Vkwc3uK7P8rImo=,-4.2,-24.4
S9R44vg6v2+upPaIqgO8BUIbj0jSV//6SNvuQx7vmgo=,-5.1,-24.7
S9R44vg6v2+upPaIqgO8BdVicv4OPtNmVYVFxxujZ4s=,-6.8,-24.8
S9R44vg6v2+rbr4HBpNCWCfM95HLN8uWQ9EecnX5HB8=,-3.3,-25.2
S9R44vg6v2/9NxS7VLe+v93SFNmWzzzlc7OsK94UnIc=,2.6,-25.8
S9R44vg6v2/9NxS7VLe+v65ryXHEK48zCYsY8PvrdS8=,1,-26.1
S9R44vg6v2/9NxS7VLe+v7/5M5ATASQl0NtemjEGIsI=,-0.1,-25.8
S9R44vg6v28f+Zts8A8BN+Exr3BnFsIB79W8iF9t0IU=,2,-15.4
S9R44vg6v29a3iYIcLakVBjap3adP+f7IHuLsgccAVE=,0.2,-15.5
S9R44vg6v29Az0sdlbKhGb3OfO6BV3ZT2YDmW4B2NYQ=,1.8,-16.3
S9R44vg6v2/MrQsjQZV30DSyddux20m2h/Rcmy8/F5E=,2.9,-15.8
S9R44vg6v29ha3pkiv5lPCuTCeomUQhsI60KGC1Fc44=,3.4,-15
S9R44vg6v2/Sa7hSEKNKHKnsYa4CbdeP+5AeCh0emEk=,2.5,-15.5
S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsEvBR62FNuys=,1,-17.6
S9R44vg6v2+1jRmWdbEcAJawb+LPEfYNK3yvx7MecLo=,4.2,-14.9
S9R44vg6v2/PqhJcPWl0CUyZ239Bg+HAwSXvlakgaB0=,3.8,-15.5
NrWJnEy30pa9hgXY8If8AY5TrRXqpMAeSXJ+RPJ/lsc=,0.6,-16.7
NrWJnEy30pb5EcVYTMMiU26ZS7F2zKDT+Js/ODOwVhc=,-0.7,-14.7
NrWJnEy30pbj4NIPURE2sikM/qF3XH+X0yenfyA3+Q0=,0.3,-14.8
NrWJnEy30pZqn1VwLwoBVg7l6ivlc3J10ibwDk2Vuhg=,-0.3,-14.9
NrWJnEy30pYr4GLSTAZ247KTc3nq42ldlm5FvAbTsjs=,1.2,-26.2
NrWJnEy30pYr4GLSTAZ24yN8oL+QHJhidXI7U0chpHA=,1,-25.4
NrWJnEy30pboUEQP7+NMQxhQa0OlKLMS7BP5yaAGj9M=,2.5,-23.3
NrWJnEy30pbwSpw8EOxr+DGFjDTsZzuufnO0R26lf4w=,2,-24.9
NrWJnEy30pZRljXI+FTyc/uwdhyAYSe+mwqvQkYrQcM=,1.3,-25.2
NrWJnEy30pZRljXI+FTyc/uwdhyAYSe+mwqvQkYrQcM=,1.3,-25.2
NrWJnEy30pZRljXI+FTycyL3xQ835lNrkh9pP/sFrI4=,3.1,-25.9
NrWJnEy30pZRljXI+FTyc2s84MxjG5P116haV5NqLeg=,2.3,-25.8
NrWJnEy30pYsOLt0P8zpUddx+xxMxYlrb6gGDqgQNLM=,4.2,-25.1
NrWJnEy30pYsOLt0P8zpUfj1NcQEr+t2fQ9QGvrUo0Q=,0.6,-25.4
NrWJnEy30pb4EVg1h7vKBhyQSCDu3e7HofIQnNAlWUc=,0.1,-15
NrWJnEy30pZCBryAjUp90THkSfUmXWd7+rItOE84apU=,3.4,-27.1
NrWJnEy30pZCBryAjUp90THkSfUmXWd7+rItOE84apU=,2.4,-27.6
NrWJnEy30pbcpw8EaMiyiElFaR0DVwe/2BArmVu6rLI=,2.2,-23.9
NrWJnEy30pY7mqLzV/GlD8Tx9GHFO+ktf2IWF2b3D5Q=,0.4,-14.7
NrWJnEy30pYsOLt0P8zpUQFLD1rsG2GuICMSV89HMug=,2.4,-25.1
NrWJnEy30pbuP69ov+0JeOE3aEUwiTEOIMhdl1YK14E=,4.4,-27.3
NrWJnEy30pYYaqb65P/txHFwP9Z0aO6ygWU5e8VKz3c=,0.8,-25.7
NrWJnEy30pYYaqb65P/txO5jwjDE4jV+zyxfJFzQ71k=,1.1,-26.9
NrWJnEy30pYYaqb65P/txAQ6d6fMomPN9ZHLrVSVYc8=,2.8,-25.2
NrWJnEy30pZqE7p+mqFMpDuA/8aaBwdz4Qb6w2nBjUg=,3.9,-26.6
NrWJnEy30paXWVwPGNeLA3bcN6npfYMj4KkpihH3CnM=,1.3,-26.3
NrWJnEy30pb2I0eANqHBFmEb+RrjGRFnHaOE7HB7Rqs=,1.2,-14.5
NrWJnEy30pawL8XCla3vZP1vxd27/TQfc8ZDCj6nzvA=,0.7,-26.7
NrWJnEy30pZHsQu/3QeAH0+gm9/8oaQNVL5O+Y0Q6+M=,4.7,-15.6
NrWJnEy30pZHsQu/3QeAHxDYA7SRCH6Ln6MSWKjCFxw=,5.2,-16.1
NrWJnEy30pawL8XCla3vZMLNSpzUcAKcw400bBSrnEg=,0.3,-26.2
NrWJnEy30pZNnXCLG7MthVcehPDiPppO8clc8NszAqM=,3,-27.6
NrWJnEy30pYw1B9yB2HtnABHPCi1L1KjU8aHBjTba2A=,1.9,-26.1
NrWJnEy30pbhSG614nyBEPqn14D29g5Tt1QsEUmkTvk=,2.4,-23.7
NrWJnEy30pZxH/6PUXNbX6KZcLtNk789gRtMym4BTnc=,2.6,-26.9
NrWJnEy30pZxH/6PUXNbX3tvQEwJgXH1hDwjDC7kBDQ=,2.9,-26
NrWJnEy30palUinYjroI3zRhb1IGYlUS0nD+e5sRSWw=,5,-15.3
NrWJnEy30palUinYjroI3zRhb1IGYlUS0nD+e5sRSWw=,5,-15.3
NrWJnEy30pbt+dOpNyz1JdofK3GzcQ0vYd+AoK23POI=,1.4,-26.5
NrWJnEy30pYb69Uqz+Q+XPFkcp/Wrq/8l+vzN0Urtms=,3,-26.2
NrWJnEy30pYb69Uqz+Q+XH8Dse0kO1RgvtuHAnji6Ek=,3.3,-26.5
NrWJnEy30pZbEqIOrdFqU6qtuZr16K9TZQTGgRAVXUc=,1.1,-23.6
NrWJnEy30paYuDYbi6UpBGUaYIldyt1RIar0jBMz2xo=,0.7,-22
NrWJnEy30pa4aFcQG+KLHj5hId0A/fkLH5BBTjq/kEw=,3.4,-13.8
NrWJnEy30palUinYjroI36BhichcXPGokQZCBturk38=,6.8,-15.2
qEiBKdJclf+nR681TpDMXxYIHMlcgulAGWaLowu2mRA=,2.1,-27.1
qEiBKdJclf8Nc8Zps4EcxwGAIQUw1GmRCoVWhrEhE6U=,-5.9,-28.7
qEiBKdJclf/qUXnIi09tl92vPpcsZh9Zw1nJ8WnLMaU=,-2.9,-27.9
qEiBKdJclf8jL/g0bc0AZWTjS4pNiJ7F5iPB0pMaI1E=,-0.1,-26.3
qEiBKdJclf+pOMJALhbbHVboqZWo6JKi03e8lkgE58k=,-0.3,-27.8
qEiBKdJclf/gO40VAdsYAXbDbZqloTQ6qvmYhE4HbOc=,-5.1,-28.9
qEiBKdJclf+XliQfAK4VfFY24gCcvf23CWk08FvWlLY=,-1.5,-27.1
qEiBKdJclf8wwTlGiZ1D7IDXKlLzhOfhoMfZE5p8i18=,-3.2,-28.1
qEiBKdJclf8wwTlGiZ1D7IDXKlLzhOfhoMfZE5p8i18=,-2.7,-27.9
qEiBKdJclf+Kof9F/RlrR8cOYz3WvmOvyU3yQRxflZI=,-1.3,-27.5
qEiBKdJclf9sGhplCozPmoSOBsIfeCIEsIQK8+fOOzc=,-1.1,-28.2
qEiBKdJclf+zuciOTs6awmkdVVR5ghGtcoLgAIQ0wiU=,-3.4,-28.6
qEiBKdJclf8TB3rUZU0kB/McL/P7lY8mz73nT/yZT5U=,-2.7,-27.9
qEiBKdJclf+43qa99xh4YWl+sReIsXt+0X8mbLUAae4=,-5.1,-28.6
qEiBKdJclf/5AmRA23JH+dq2YUuS7Pyu6+LNASbCJtI=,-3.1,-27.1
qEiBKdJclf/Qzzrb+epfBaa/wpAkxvwVFhutT6BHZMI=,-2.4,-28.7
qEiBKdJclf/YTFGQgd1EGchBNa+roNvTCU8NOc0dZFg=,0.9,-27.2
qEiBKdJclf/N8NkyLma/b3gLGFFQ/mhfiPuVkXplvnc=,0.2,-27.7
qEiBKdJclf9O9QxrtCWSWnAZh/Rfp0UVhROueeb8F8g=,1.4,-26.9
