"uid","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","cnSampleID","analysisDate","sampleType","d15N","d13C","cnIsotopeQF","isotopeAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF"
"5da2c736-67e6-4755-8fa2-54b76a099f22","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","2017-07-24T12:29Z","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2TM9SwPpPt9o=","2018-05-30","vegetation",0,-29.8,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"7917a0ae-ffab-4fd0-ac34-1a74ddacb321","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","2017-07-24T13:06Z","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=","HvxvVDlCk18recdnuMUehunN/NlpHPvs6cmKLR97Hmk=","2018-05-30","vegetation",0.4,-25.4,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"0ca7e39b-8dfc-48c6-ae3d-e0f7092c4c52","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","2017-07-24T15:09Z","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhR45gOlfojzUk=","2018-05-30","vegetation",-0.6,-28.5,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"a1f8b5ed-e3ae-4f47-a18e-3c30c8a83936","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","2017-07-25T13:28Z","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1qp8ukYnPs5Y=","2018-05-30","vegetation",-1.6,-28.4,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"a3738dc7-c081-412b-8d23-c39a51d19283","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","2017-07-25T13:29Z","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl0x6dA5X4eE=","2018-05-30","vegetation",-2,-26.7,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"f2473276-3118-4942-98aa-44aeca79f7cc","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","2017-07-25T14:26Z","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNsG0EH30eQsE=","2018-05-30","vegetation",-1.8,-28.7,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"0b9a6deb-74cb-421b-a769-57fa58525b8a","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","2017-07-25T16:57Z","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0a8YdujV1OoA4=","2018-05-31","vegetation",-1.2,-29.2,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"ca5a9d65-608f-453b-8974-90175934bf3d","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","2017-07-26T13:50Z","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzEQRhUxfyE60=","2018-05-31","vegetation",-3.2,-28.1,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"e926709d-89ad-4bd5-836a-1744c48f0bb0","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","2017-07-26T15:52Z","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlz6KJecjE+abQ=","2018-05-31","vegetation",-1.9,-27.9,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"c4a843b0-829d-43f4-8ac4-812b2d0a54ef","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","2017-07-26T17:54Z","HvxvVDlCk1+KVx888dV2UvUKxPneZWVxjm4EVnGl/t4=","HvxvVDlCk1+KVx888dV2UvUKxPneZWVx0PTs0M0kRXg=","2018-05-31","vegetation",-2.4,-28.6,"0","0",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
