"uid","namedLocation","date","domainID","siteID","plotID","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","easting","northing","utmZone","elevation","elevationUncertainty","eventID","samplingProtocolVersion","treesPresent","treesAbsentList","shrubsPresent","shrubsAbsentList","lianasPresent","lianasAbsentList","nestedSubplotAreaShrubSapling","nestedSubplotAreaLiana","totalSampledAreaTrees","totalSampledAreaShrubSapling","totalSampledAreaLiana","remarks","measuredBy","recordedBy","dataQF"
"c0c98dc3-629f-4fe6-903d-f34fd2d516fe","BART_012.basePlot.vst","2014-08-05","D01","BART","BART_012","distributed","deciduousForest",44.046089,-71.316317,"WGS84",20.3,314433.4,4879600.41,"19N",558.9,0.4,"vst_BART_2014","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"10","noneSelected",400,80,400,"","r9TmJceGQn9Mas2gKsHx4g==",NA,"legacyData"
"7192ffab-6318-47bd-a6b7-c9a80d7d8376","BART_012.basePlot.vst","2014-08-05","D01","BART","BART_012","distributed","deciduousForest",44.046089,-71.316317,"WGS84",20.3,314433.4,4879600.41,"19N",558.9,0.4,"vst_BART_2014","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"10","noneSelected",400,80,400,"QC: NO ERRORS","4lql1spsNJQU4WwqBAD1Kg==",NA,"legacyData"
"47a1433f-3312-42bf-a5b7-d04a6d2df50c","BART_001.basePlot.vst","2014-08-13","D01","BART","BART_001","distributed","mixedForest",44.047077,-71.306658,"WGS84",20.2,315210.3,4879688.44,"19N",468.8,0.3,"vst_BART_2014","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",400,400,400,"QC: NO ERRORS","BHAH1QQ9NalAcMsoHIVjdA==",NA,"legacyData"
"0aff5c4e-1c93-4fc1-a984-169cdb4353d4","BART_005.basePlot.vst","2014-08-27","D01","BART","BART_005","distributed","mixedForest",44.05462,-71.282199,"WGS84",20.2,317193,4880471.67,"19N",304.9,0.3,"vst_BART_2014","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",400,400,400,"","r9TmJceGQn9Mas2gKsHx4g==",NA,"legacyData"
"5b331ab6-70ba-41c1-8d62-9226c085c45a","BART_042.basePlot.vst","2015-06-06","D01","BART","BART_042","tower","deciduousForest",44.060186,-71.288047,"WGS84",20.2,316741.73,4881102.89,"19N",288.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,NA,"6HzkzFDdLaNgPi31AaqxNPsuI5nRHqWu","wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","legacyData"
"190d4443-c324-41b2-b898-c200fedb4c8b","BART_047.basePlot.vst","2015-07-16","D01","BART","BART_047","tower","deciduousForest",44.064958,-71.290866,"WGS84",20.2,316530.69,4881639.21,"19N",266.9,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,NA,"zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"6fe52189-18f0-4995-9533-06944caa90bd","BART_047.basePlot.vst","2015-07-21","D01","BART","BART_047","tower","deciduousForest",44.064958,-71.290866,"WGS84",20.2,316530.69,4881639.21,"19N",266.9,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,NA,"zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"988c9876-4358-4b85-a412-3ae1de7844f6","BART_034.basePlot.vst","2015-07-22","D01","BART","BART_034","tower","mixedForest",44.064283,-71.285609,"WGS84",20.2,316949.64,4881552.53,"19N",267.5,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,NA,"0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","bWvVSKjgptV89BwHA3h10JNaeV+PHmDU","legacyData"
"e8dd8847-5983-42e5-b17a-19e33bf55441","BART_041.basePlot.vst","2015-07-22","D01","BART","BART_041","tower","deciduousForest",44.06534,-71.285606,"WGS84",20.3,316953.13,4881669.93,"19N",260.7,0.4,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,NA,"wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm","legacyData"
"75030a6f-5dee-4945-b401-e67f364ea398","BART_033.basePlot.vst","2015-07-22","D01","BART","BART_033","tower","deciduousForest",44.063204,-71.283666,"WGS84",20.2,317101.93,4881428.37,"19N",273.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,NA,"zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"f1f4bbb1-ca71-4084-bb06-e5e1b880bccb","BART_041.basePlot.vst","2015-07-22","D01","BART","BART_041","tower","deciduousForest",44.06534,-71.285606,"WGS84",20.3,316953.13,4881669.93,"19N",260.7,0.4,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,NA,"0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm","legacyData"
"e52784af-e75d-4643-84ff-ea0473e461de","BART_070.basePlot.vst","2015-07-23","D01","BART","BART_070","tower","mixedForest",44.064339,-71.281445,"WGS84",20.2,317283.3,4881549.5,"19N",249.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,NA,"0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","xLZ+YqMrzOOIoCWuzuptWcn+zeO8dPFj","legacyData"
"d56fe4c2-af29-428b-8c74-cae326d89be0","BART_033.basePlot.vst","2015-07-23","D01","BART","BART_033","tower","deciduousForest",44.063204,-71.283666,"WGS84",20.2,317101.93,4881428.37,"19N",273.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,NA,"zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"c28cd9f6-0204-42ef-bcbc-2a0d296afa47","BART_073.basePlot.vst","2015-07-28","D01","BART","BART_073","tower","mixedForest",44.06477,-71.28861,"WGS84",20.2,316710.79,4881613.3,"19N",280.7,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,NA,"zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","legacyData"
"2537a515-2a93-4fb1-bf59-62d3e6038ad5","BART_040.basePlot.vst","2015-07-28","D01","BART","BART_040","tower","deciduousForest",44.065761,-71.291993,"WGS84",20.2,316442.91,4881730.91,"19N",260.5,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,NA,"zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm","legacyData"
"d5a05917-7bf2-43a2-a044-0cf3d0ce5075","BART_040.basePlot.vst","2015-07-29","D01","BART","BART_040","tower","deciduousForest",44.065761,-71.291993,"WGS84",20.2,316442.91,4881730.91,"19N",260.5,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,NA,"zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm","legacyData"
