"uid","namedLocation","domainID","siteID","plotType","sampleID","collectDate","lmaSampleID","lmaSampleCondition","scanDate","scannedBy","freshMass","ovenStartDate","ovenEndDate","dryMass","weighedBy","scannedLeafNumber","leafArea","percentGreen","leafMassPerArea","dryMassFraction","measuredBy","remarks","dataQF"
"c4c0aa45-2c52-4c24-9527-ec8df8741112","TALL_002.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBa4Jrx76Su1MKhWFH7r1cgzNQ4wHLLe5r0=","2017-05-22T15:00Z","8YsBtW+LzBa4Jrx76Su1MKhWFH7r1cgzOLAt36A2XZs=","OK","2017-05-23T13:00Z","",2.134,"2017-05-23T17:52Z","2017-05-25T17:58Z",0.86,"udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",29,4156.9,94,206.9,0.403,"udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=","",NA
"69542d6e-ba4e-4cc2-acdd-91d991aabd6d","TALL_006.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBaw+Vou2Ne0ziiKT3sh5As+UgWJGejY4Mg=","2017-05-22T16:00Z","8YsBtW+LzBaw+Vou2Ne0ziiKT3sh5As+ntjGAcNsXKU=","OK","2017-05-23T16:56Z","myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=",4.247,"2017-05-23T16:56Z","2017-05-25T18:12Z",2.111,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",2,22051.3,99,95.7,0.497,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","",NA
"8931201b-3cdb-4c1e-95e1-d9a48c671124","TALL_006.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBaw+Vou2Ne0zhP6Vh3CibOOjaKJ7s6H9Xk=","2017-05-22T16:30Z","8YsBtW+LzBaw+Vou2Ne0zhP6Vh3CibOOgnUdZZXQG3c=","OK","2017-05-23T16:50Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",6.625,"2017-05-23T16:50Z","2017-05-25T18:14Z",3.259,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",5,38963.5,99,83.6,0.492,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","2 scans total",NA
"fecd58fd-7985-48fc-abc7-e67b665cffd5","TALL_006.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBY5k6dHh5HSWsN9G8ZmMR15XvFAgaStn5s=","2017-05-22T17:00Z","8YsBtW+LzBY5k6dHh5HSWsN9G8ZmMR150R90mHA3DVl3oJierTychA==","OK","2017-05-23T17:00Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",2.397,"2017-05-23T15:59Z","2017-05-25T17:54Z",0.907,"myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=",2,9976.9,100,90.9,0.378,"myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=","",NA
"dbf016ad-c91e-4c0d-907d-85b6e4d56ffb","TALL_013.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBbzNnpsjyZuYPZpNluJsgBLQG32p6Si7UY=","2017-05-22T20:35Z","8YsBtW+LzBbzNnpsjyZuYPZpNluJsgBLArWXct3yV+s=","OK","2017-05-23T16:11Z","myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=",4.168,"2017-05-23T16:11Z","2017-05-25T17:48Z",1.67,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",9,21875.4,99,76.3,0.401,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","",NA
"daeb4edc-6346-4378-9546-f5e4c3afa13e","TALL_013.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBaere+XsE42kwpqDVIKcVh4kxUYMNvXUdM=","2017-05-22T20:39Z","8YsBtW+LzBaere+XsE42kwpqDVIKcVh4Q4gd/Dl58b9UWVVaaMFSbQ==","OK","2017-05-23T17:23Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",5.93,"2017-05-23T17:23Z","2017-05-25T18:03Z",2.914,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",22,8765,97,332.5,0.491,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","4 scans total",NA
"f2b5b033-aed5-4a93-ae3e-c0566605f020","TALL_013.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBaere+XsE42kxN8xKzPF2IYkjVQYk7bJ4g=","2017-05-22T20:40Z","8YsBtW+LzBaere+XsE42kxN8xKzPF2IYloz8CQR2vbZ+2OfXYINaUg==","OK","2017-05-23T16:27Z","myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=",4.427,"2017-05-23T16:27Z","2017-05-25T18:17Z",2.13,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",19,6490,97,328.2,0.481,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","2 scans total",NA
"0ffeeb01-83c7-41c7-b1a6-b18f1118a19b","TALL_005.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBb6ybUeRQ+qMZiOLK6D+FBhJh3D1UnpD8c=","2017-05-23T06:30Z","8YsBtW+LzBb6ybUeRQ+qMZiOLK6D+FBhHR+gIXxw8u0=","OK","2017-05-24T18:20Z","myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=",8.694,"2017-05-24T18:20Z","2017-06-02T22:00Z",2.72,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",4,22258.3,99,122.2,0.313,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","2 scans total",NA
"959c47db-2c94-4ce7-9835-ad05c7a40755","TALL_005.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBZV0iGplBv6sJJCqYV5ZcINt934npZ4d3I=","2017-05-23T07:30Z","8YsBtW+LzBZV0iGplBv6sJJCqYV5ZcIN0NA9hR9qgVsq4t/sytpiyA==","OK","2017-05-24T18:20Z","myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=",6.115,"2017-05-24T18:20Z","2017-06-02T22:00Z",2.84,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",17,7548.8,100,376.2,0.464,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","3 scans total",NA
"5bf48e2c-8af5-4f42-a5f6-46cc3646c248","TALL_005.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBZV0iGplBv6sC1NeaAq38tlzZ/HsE7sSEc=","2017-05-23T08:00Z","8YsBtW+LzBZV0iGplBv6sC1NeaAq38tlrBTzpXqDGbFUaHqluGWNnA==","OK","2017-05-24T18:20Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",6.159,"2017-05-24T18:20Z","2017-06-02T22:00Z",2.79,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",20,7098.3,100,393.1,0.453,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","3 scans total",NA
"b704069a-81c2-4493-b6cf-afc54e5f71b1","TALL_003.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBaQ7O+R2ZAqFV8+AcgK4/RCsIQM8EXIKK8=","2017-05-23T13:30Z","8YsBtW+LzBaQ7O+R2ZAqFV8+AcgK4/RCjEQBxxcmXXI=","OK","2017-05-24T18:20Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",3.649,"2017-05-24T18:20Z","2017-06-02T22:00Z",1.79,"bmECNxKFORJ43CkPOK/jz5baIMG9fVgNDZtuMGOxgY0=",3,18325.6,99,97.7,0.491,"bmECNxKFORJ43CkPOK/jz5baIMG9fVgNDZtuMGOxgY0=","",NA
"f643e9cc-e720-4a55-b120-eaa0328b1ce4","TALL_003.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBbGKNGIqrsupt9og6Jj+7oZYBE2yxTwgA8=","2017-05-23T14:00Z","8YsBtW+LzBbGKNGIqrsupt9og6Jj+7oZmxOxWzr14WWVt68F4yMw5Q==","OK","2017-05-24T18:20Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",2.222,"2017-05-24T18:20Z","2017-06-02T22:00Z",0.767,"bmECNxKFORJ43CkPOK/jz5baIMG9fVgNDZtuMGOxgY0=",1,9109.9,100,84.2,0.345,"bmECNxKFORJ43CkPOK/jz5baIMG9fVgNDZtuMGOxgY0=","",NA
"01c78238-18ff-4b40-b9ab-fae5fb7ff2ce","TALL_003.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBbGKNGIqrsupjZObgpMMq2lo7SewIarDBU=","2017-05-23T14:30Z","8YsBtW+LzBbGKNGIqrsupjZObgpMMq2lWYnZwF1iBgsOY7VUKed1Qg==","OK","2017-05-24T18:20Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",4.037,"2017-05-24T18:20Z","2017-06-02T22:00Z",1.355,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",2,17762.1,99,76.3,0.336,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","2 scans total",NA
"5444619e-44ab-40e6-8aeb-3a491a42fccd","TALL_009.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBZgU626mfJPgQx4+Z746t5oiig8MAL1n8Y=","2017-05-23T15:30Z","8YsBtW+LzBZgU626mfJPgQx4+Z746t5oxKa3A0zetT8=","OK","2017-05-24T13:00Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",2.417,"2017-05-24T18:20Z","2017-06-02T22:00Z",1.22,"myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=",2,14625.1,99,83.4,0.505,"myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=","",NA
"13135762-d654-4c97-827b-eb776961e25c","TALL_009.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBY4UA7K5P8oFrFyEYB5k/RVGZJzeQ656xc=","2017-05-23T16:00Z","8YsBtW+LzBY4UA7K5P8oFrFyEYB5k/RVJg+i6oLDFGKxQw/CofHYuQ==","OK","2017-05-24T18:20Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",5.072,"2017-05-24T18:20Z","2017-06-24T18:20Z",1.79,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=",4,24792.9,100,72.2,0.353,"nDk3u3/Gyje+hKaTCMqqjsY5CgZT7s9cLLilPZHkLiA=","2 scans total",NA
"01dc52ba-c63b-4027-b870-e268ed7c519d","TALL_009.basePlot.cfc","D08","TALL","distributed","8YsBtW+LzBZgU626mfJPgWec1/7WFC24EA+8PEUBrrg=","2017-05-23T17:30Z","8YsBtW+LzBZgU626mfJPgWec1/7WFC24MpRzoMD3BeU=","OK","2017-05-24T13:00Z","udEaWw53Elxvp6M7t/PsCdorGPHBPkzcd4HRbmIkprI=",2.623,"2017-05-24T18:20Z","2017-06-02T22:00Z",1.27,"myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=",4,15672.9,99,81,0.484,"myobpmd3LgLJ60u7KvqPwzWsI7gWzOVSM+m4QIn06YM=","",NA
"1dd4b395-3143-49d9-a0ab-7f4b522d06dc","WOOD_043.basePlot.cfc","D09","WOOD","tower","xZ/4LGAq2g5RAbC90CFX05C/iONIwkH2V5OYKgGohSc=","2016-06-27T16:42Z","xZ/4LGAq2g5RAbC90CFX05C/iONIwkH2rMu7BTGGMiU=","OK","2016-06-29T20:13Z","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",0.765,"2016-06-29T20:33Z","2016-07-05T16:00Z",0.474,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",15,2107.9,100,225,0.62,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W","Scan time estimated",NA
"1d14dd9a-3f59-49ed-84fb-6a81fcda338e","WOOD_044.basePlot.cfc","D09","WOOD","tower","xZ/4LGAq2g5NM+G6kbU3sw96yUdUfvrt82PnLRxK9Pg=","2016-06-27T17:10Z","xZ/4LGAq2g5NM+G6kbU3sw96yUdUfvrte/q7YqGnmus=","OK","2016-06-29T19:57Z","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",0.688,"2016-06-29T19:17Z","2016-07-05T16:00Z",0.326,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",13,2988.8,100,109,0.473,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W","Scan time estimated",NA
"50baaa3e-ea10-4a41-b1b1-47c8665d3985","WOOD_045.basePlot.cfc","D09","WOOD","tower","xZ/4LGAq2g625hRtYPCK3nFi3gGfPNepkwWPNpIfYFs=","2016-06-27T17:30Z","xZ/4LGAq2g625hRtYPCK3nFi3gGfPNep8hk1xcgZLEs=","OK","2016-06-29T19:53Z","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",0.664,"2016-06-29T20:13Z","2016-07-05T16:00Z",0.405,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",27,2445.8,100,165.6,0.61,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W","Scan time estimated",NA
"7846b78c-fe6d-42cf-81a3-1f4fe65c58ce","WOOD_042.basePlot.cfc","D09","WOOD","tower","xZ/4LGAq2g7s0BFr7jQjhrHnd3mW1OXxTX6YMO8XwPw=","2016-06-27T17:44Z","xZ/4LGAq2g7s0BFr7jQjhrHnd3mW1OXx+omZIjbeI2I=","OK","2016-06-29T16:00Z","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",0.724,"2016-06-29T16:20Z","2016-07-05T16:00Z",0.339,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",18,2998.9,100,112.9,0.468,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W","Scan time estimated",NA
"a0ea9be7-553b-4fe0-a413-4d8b83bc44b8","WOOD_001.basePlot.cfc","D09","WOOD","distributed","xZ/4LGAq2g67m1KX+4fS/U/0naalVs0/l+KfaPe5Wjo=","2016-06-27T19:12Z","xZ/4LGAq2g67m1KX+4fS/U/0naalVs0/t6j0kqPulVc=","OK","2016-06-29T14:27Z","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",1.258,"2016-06-29T14:47Z","2016-07-05T16:00Z",0.663,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",9,7440.6,100,89.1,0.527,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W","Scan time estimated",NA
"709dfa8b-3797-4fce-a765-18fcf2746c44","WOOD_003.basePlot.cfc","D09","WOOD","distributed","xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQ6ZjM6mutTUM=","2016-06-27T19:27Z","xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQck+uhDaMoxQ=","OK","2016-06-29T20:03Z","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",0.805,"2016-06-29T20:23Z","2016-07-05T16:00Z",0.421,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",29,2745.2,100,153.5,0.524,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W","Scan time estimated",NA
"9eeb6dbb-fbdf-4966-8777-6df5587ed106","WOOD_004.basePlot.cfc","D09","WOOD","distributed","xZ/4LGAq2g5Rur2MuF0BDdvtUvI2rTmpGu++T/p6/ws=","2016-06-27T20:29Z","xZ/4LGAq2g5Rur2MuF0BDdvtUvI2rTmpoD0IGzLhej8=","OK","2016-06-29T15:27Z","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",0.455,"2016-06-29T15:47Z","2016-07-05T16:00Z",0.228,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",17,2008.1,100,113.4,0.5,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W","Scan time estimated",NA
"2e241819-7916-4263-a1f1-ad5ff14f872c","WOOD_023.basePlot.cfc","D09","WOOD","distributed","xZ/4LGAq2g6CJ8QaAy8llpSgItxwBWxDm1rOJ4cSVMo=","2016-06-27T20:30Z","xZ/4LGAq2g6CJ8QaAy8llpSgItxwBWxDrBH/HliobWI=","OK","2016-06-29T16:21Z","MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",6.753,"2016-06-29T16:41Z","2016-07-05T16:00Z",1.295,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W",8,14469.9,100,89.5,0.192,"MfODK+JJmcLqkB6yRFBuRyUZt7q1nY/W","Scan time estimated",NA
