"uid","namedLocation","domainID","siteID","plotID","plotType","nlcdClass","geodeticDatum","decimalLatitude","decimalLongitude","coordinateUncertainty","elevation","elevationUncertainty","samplingProtocolVersion","collectDate","subplotID","sampleType","samplingMethod","vstTag","tagID","individualID","taxonID","scientificName","plantStatus","clipCellNumber","clipID","clipLength","clipWidth","percentCoverClip","sampleID","subsample1Height","subsample2Height","subsample3Height","chlorophyllSampleID","collectedBy","recordedBy","remarks","dataQF"
"2c122ba5-6432-4dbf-804d-d367f8f957aa","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","deciduousForest","WGS84",38.900539,-78.161859,20.1,269.8,0.17,"NEON.DOC.001024vD","2017-07-24T12:29Z","21","Woody individual","line launcher","N","13004","NEON.PLA.D02.SCBI.13004","QUAL","Quercus alba L.","Live, physically damaged",NA,NA,NA,NA,NA,"HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=",7,NA,NA,"HvxvVDlCk1+52DmmtjULpk2KHiWTONl2q7eGpKKpKI8=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","Several limbs damaged by windthrow",NA
"4dc6188b-ac30-44a5-af2e-6deee58d632b","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","deciduousForest","WGS84",38.900539,-78.161859,20.1,269.8,0.17,"NEON.DOC.001024vD","2017-07-24T13:06Z","31","Woody individual","line launcher","Y","00279","NEON.PLA.D02.SCBI.00279","FRAM2","Fraxinus americana L.","Live, insect damaged",NA,NA,NA,NA,NA,"HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=",25.1,27,NA,"HvxvVDlCk18recdnuMUehunN/NlpHPvsIcpjO7NuyDUJ5zIDZRpxDA==","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","Insect damage due to emerald ash borer",NA
"ebb1403f-94f6-49d1-91ca-7cd82370f3e8","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","deciduousForest","WGS84",38.900539,-78.161859,20.1,269.8,0.17,"NEON.DOC.001024vD","2017-07-24T15:09Z","41","Woody individual","line launcher","N","13003","NEON.PLA.D02.SCBI.13003","LITU","Liriodendron tulipifera L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=",25.6,26.3,26.6,"HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhR/KZ9+6WK02M=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","",NA
"cc255cd8-ffa5-456f-ba91-aa01aa5b0e2b","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","deciduousForest","WGS84",38.896935,-78.146456,20.3,312.6,0.5,"NEON.DOC.001024vD","2017-07-25T13:28Z","41","Woody individual","line launcher","Y","01151","NEON.PLA.D02.SCBI.01151","JUNI","Juglans nigra L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=",24.1,NA,NA,"HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1OGpqMATVll8=","dMVZgSbiazVu0oXyzneal5IPnECwOfLe","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","",NA
"ffa30158-8dc6-40c9-a395-59216980baec","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","deciduousForest","WGS84",38.896935,-78.146456,20.3,312.6,0.5,"NEON.DOC.001024vD","2017-07-25T13:29Z","31","Woody individual","line launcher","N","13002","NEON.PLA.D02.SCBI.13002","FRAM2","Fraxinus americana L.","Live, insect damaged",NA,NA,NA,NA,NA,"HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=",24,NA,NA,"HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgc/IyC2W4CbLcczd5U1Gcp6A==","dMVZgSbiazVu0oXyzneal5IPnECwOfLe","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","Insect damage due to emerald ash borer",NA
"c3b4a0ce-f1ad-4476-bfae-b5160c6aaf0d","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","deciduousForest","WGS84",38.896935,-78.146456,20.3,312.6,0.5,"NEON.DOC.001024vD","2017-07-25T14:26Z","23","Woody individual","line launcher","N","13001","NEON.PLA.D02.SCBI.13001","QUVE","Quercus velutina Lam.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=",27.3,27.3,NA,"HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNlHeU5uimg3Q=","dMVZgSbiazVu0oXyzneal5IPnECwOfLe","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","",NA
"99df965d-a5d7-449a-8fd0-250976214281","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","deciduousForest","WGS84",38.890566,-78.139431,20.1,359,0.1,"NEON.DOC.001024vD","2017-07-25T16:57Z","21","Woody individual","line launcher","Y","03301","NEON.PLA.D02.SCBI.03301","JUNI","Juglans nigra L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=",9.2,NA,NA,"HvxvVDlCk1883DeQw28MdnJFN2Yr4f0a1o/meRcpHJw=","dMVZgSbiazVu0oXyzneal5IPnECwOfLe","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","",NA
"30570789-9be9-4bd9-a3db-00a9a0eb671d","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","deciduousForest","WGS84",38.894615,-78.13964,20.2,365.1,0.23,"NEON.DOC.001024vD","2017-07-26T13:50Z","23","Woody individual","line launcher","Y","02574","NEON.PLA.D02.SCBI.02574","LITU","Liriodendron tulipifera L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=",24.7,NA,NA,"HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzzH7t4xU4qXE=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","",NA
"447b329b-fd79-4296-b5fc-a2c66bda3ca4","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","deciduousForest","WGS84",38.894615,-78.13964,20.2,365.1,0.23,"NEON.DOC.001024vD","2017-07-26T15:52Z","23","Woody individual","line launcher","Y","02577","NEON.PLA.D02.SCBI.02577","QURU","Quercus rubra L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=",21.9,19.8,NA,"HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzXEI8iQMvERw=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","",NA
"790eada5-ed2c-4005-b547-0cc0cca94c42","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","deciduousForest","WGS84",38.894615,-78.13964,20.2,365.1,0.23,"NEON.DOC.001024vD","2017-07-26T17:54Z","41","Woody individual","line launcher","Y","02549","NEON.PLA.D02.SCBI.02549","JUNI","Juglans nigra L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk1+KVx888dV2UvUKxPneZWVxjm4EVnGl/t4=",24.3,NA,NA,"HvxvVDlCk1+KVx888dV2UvUKxPneZWVxdsw0LplrtNE=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","",NA
"d17efc44-c8af-4602-b7be-dc13392613c8","SCBI_010.basePlot.cfc","D02","SCBI","SCBI_010","distributed","deciduousForest","WGS84",38.88477,-78.12516,20.2,493.3,0.3,"NEON.DOC.001024vD","2017-07-27T14:24Z","31","Woody individual","line launcher","Y","01925","NEON.PLA.D02.SCBI.01925","ACNEN","Acer negundo L. var. negundo","Live, physically damaged",NA,NA,NA,NA,NA,"HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq64SBG3RfAhI4=",7.7,NA,NA,"HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq6a/pYcOYGxevurdOCSvVRwQ==","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","Damaged due to wind throw",NA
"fcfbc1fc-1de4-46a0-83d4-ea16833555b6","SCBI_010.basePlot.cfc","D02","SCBI","SCBI_010","distributed","deciduousForest","WGS84",38.88477,-78.12516,20.2,493.3,0.3,"NEON.DOC.001024vD","2017-07-27T16:32Z","32","Woody individual","line launcher","N","13006","NEON.PLA.D02.SCBI.13006","VITIS","Vitis sp.","Live, insect damaged",NA,NA,NA,NA,NA,"HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6MtBN6OugIbU=",5.9,NA,NA,"HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6K6c3cuI0Dzu+I3u6qeGLmg==","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","",NA
"d92a2e7f-f579-4556-abeb-40540e3b669a","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","deciduousForest","WGS84",38.890566,-78.139431,20.1,359,0.1,"NEON.DOC.001024vD","2017-07-28T05:10Z","39","Woody individual","pole pruner","N","13008","NEON.PLA.D02.SCBI.13008","VITIS","Vitis sp.","Live, insect damaged",NA,NA,NA,NA,NA,"HvxvVDlCk19EVGeg9EptERY8d7QKUf5+lT00LmxDsSQ=",1.8,NA,NA,"HvxvVDlCk19EVGeg9EptERY8d7QKUf5+STCgDN9r4PVO1+v22hhlJQ==","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","Insect damage; galls",NA
"46c3ce82-cb0f-4ae4-a1ff-81b3422a7517","SCBI_002.basePlot.cfc","D02","SCBI","SCBI_002","distributed","deciduousForest","WGS84",38.895212,-78.142701,20.1,316.8,0.38,"NEON.DOC.001024vD","2017-07-28T13:30Z","40","Woody individual","line launcher","Y","00011","NEON.PLA.D02.SCBI.00011","FRAM2","Fraxinus americana L.","Live, insect damaged",NA,NA,NA,NA,NA,"HvxvVDlCk19/LDHwwAo3YxZqxe4gnGF33QYbdiOMRZA=",20.3,23.3,19.7,"HvxvVDlCk19/LDHwwAo3YxZqxe4gnGF3uK8zzomnuFncH5BEbQ0yMA==","dMVZgSbiazVu0oXyzneal5IPnECwOfLe","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","Insect damage due to emerald ash borer",NA
"63d079bd-6341-4435-abf6-380fcc7e2cd9","SCBI_002.basePlot.cfc","D02","SCBI","SCBI_002","distributed","deciduousForest","WGS84",38.895212,-78.142701,20.1,316.8,0.38,"NEON.DOC.001024vD","2017-07-28T14:47Z","41","Woody individual","line launcher","Y","00003","NEON.PLA.D02.SCBI.00003","JUNI","Juglans nigra L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk1+WcrkevV8Iu1UJFz5xk1r3SCyvt34gmBk=",25,NA,NA,"HvxvVDlCk1+WcrkevV8Iu1UJFz5xk1r3+m18d9pHIYg=","dMVZgSbiazVu0oXyzneal5IPnECwOfLe","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","",NA
"e8495f53-4643-4a00-a6cc-57a964e7ceb8","SCBI_002.basePlot.cfc","D02","SCBI","SCBI_002","distributed","deciduousForest","WGS84",38.895212,-78.142701,20.1,316.8,0.38,"NEON.DOC.001024vD","2017-07-28T15:15Z","21","Woody individual","line launcher","N","13005","NEON.PLA.D02.SCBI.13005","LITU","Liriodendron tulipifera L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk1+Qj9bexHPaS+L21NZ5c6MJaxl8Ck9jB24=",21.7,NA,NA,"HvxvVDlCk1+Qj9bexHPaS+L21NZ5c6MJf9WF7QfSTQI=","dMVZgSbiazVu0oXyzneal5IPnECwOfLe","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","",NA
"bc22148f-6217-4bde-a645-a1645bf1f8ce","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","deciduousForest","WGS84",38.890566,-78.139431,20.1,359,0.1,"NEON.DOC.001024vD","2017-07-28T19:35Z","39","Woody individual","line launcher","Y","03296","NEON.PLA.D02.SCBI.03296","FRAM2","Fraxinus americana L.","Live, insect damaged",NA,NA,NA,NA,NA,"HvxvVDlCk1885jWb3D9uoNtfBoh8w7ds1JF6UqHlHlE=",9.7,NA,NA,"HvxvVDlCk1885jWb3D9uoNtfBoh8w7ds95foKDnOv2fISwfoRT6WqQ==","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","F1aLHfHLM4qaIk0WIP5D+6fDrn//30Wj","Insect damage due to emerald ash borer",NA
"654163fa-67c8-4f96-96ca-d9067be81ffa","SCBI_013.basePlot.cfc","D02","SCBI","SCBI_013","distributed","deciduousForest","WGS84",38.874379,-78.163985,20.2,314.3,0.27,"NEON.DOC.001024vD","2017-07-31T14:15Z","41","Woody individual","line launcher","Y","01531","NEON.PLA.D02.SCBI.01531","QURU","Quercus rubra L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk19Zj9vSHVUUnXMykrJPAQ5g0H5tKbBogRU=",27.3,NA,NA,"HvxvVDlCk19Zj9vSHVUUnXMykrJPAQ5g65k6lpHDSiM=","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","",NA
"fe3e2e2a-1a5d-448a-aca2-4d95b08ba086","SCBI_013.basePlot.cfc","D02","SCBI","SCBI_013","distributed","deciduousForest","WGS84",38.874379,-78.163985,20.2,314.3,0.27,"NEON.DOC.001024vD","2017-07-31T15:20Z","32","Woody individual","line launcher","Y","01496","NEON.PLA.D02.SCBI.01496","LITU","Liriodendron tulipifera L.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk18ush1BqjuQDS9DQaX44XwvURN7NsCxT/M=",27.8,NA,NA,"HvxvVDlCk18ush1BqjuQDS9DQaX44XwvbHeUxF/wuvw=","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","",NA
"75e3efe9-9651-477b-bfe2-f4d8923eeb79","SCBI_013.basePlot.cfc","D02","SCBI","SCBI_013","distributed","deciduousForest","WGS84",38.874379,-78.163985,20.2,314.3,0.27,"NEON.DOC.001024vD","2017-07-31T16:45Z","41","Woody individual","line launcher","N","13010Z","NEON.PLA.D02.SCBI.13010Z","QUMO4","Quercus montana Willd.","Live",NA,NA,NA,NA,NA,"HvxvVDlCk19fheKIYCBrr/6ub+ELkaNvH9kpDJGuvvY=",25.7,NA,NA,"HvxvVDlCk19fheKIYCBrr/6ub+ELkaNval2nAA9NeowUcqOewDRMWA==","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","",NA
"29d480d0-23c3-40e1-800d-32f0f017548b","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","deciduousForest","WGS84",38.887763,-78.147164,20.3,336.7,0.41,"NEON.DOC.001024vD","2017-08-01T13:20Z","41","Woody individual","line launcher","N","13011","NEON.PLA.D02.SCBI.13011","QUMO4","Quercus montana Willd.","Live",NA,"",NA,NA,NA,"HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRhlQcjpEZCJs=",23.9,NA,NA,"HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRD9kT8cLinni5xYSAXc7P6A==","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","",NA
"05399d74-3ed5-4211-8a28-39b896b94925","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","deciduousForest","WGS84",38.887763,-78.147164,20.3,336.7,0.41,"NEON.DOC.001024vD","2017-08-01T14:15Z",NA,"Woody individual","line launcher","Y","1103","NEON.PLA.D02.SCBI.01103","QUAL","Quercus alba L.","Live",NA,"",NA,NA,NA,"HvxvVDlCk19JlN37PLGpuXmwYTp0GGASXFeig3DWZYo=",21.3,NA,NA,"HvxvVDlCk19JlN37PLGpuXmwYTp0GGAS0AF8i8Whh5E=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","",NA
"2f10df2c-3f4f-495b-80c0-fc6553c254d4","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","deciduousForest","WGS84",38.879732,-78.139901,20.2,366.4,0.3,"NEON.DOC.001024vD","2017-08-01T18:05Z","41","Woody individual","line launcher","N","13013","NEON.PLA.D02.SCBI.13013","LITU","Liriodendron tulipifera L.","Live",NA,"",NA,NA,NA,"HvxvVDlCk19LcyNt9GpiizHsoykg80Zn6ewX9TkT9Io=",16.9,NA,NA,"HvxvVDlCk19LcyNt9GpiizHsoykg80ZnE15ksq6Q/mU=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","",NA
"398a98d6-a078-463e-9a68-85e27fcea008","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","deciduousForest","WGS84",38.879732,-78.139901,20.2,366.4,0.3,"NEON.DOC.001024vD","2017-08-01T18:44Z","41","Woody individual","line launcher","Y","1758","NEON.PLA.D02.SCBI.01758","LITU","Liriodendron tulipifera L.","Live",NA,"",NA,NA,NA,"HvxvVDlCk19LcyNt9Gpii5g5y6jx981iIgr5dxxPImk=",18.8,NA,NA,"HvxvVDlCk19LcyNt9Gpii5g5y6jx981i5E62QF3DX90=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","",NA
"ac4c19f7-abcb-43f0-ab3c-236619974809","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","deciduousForest","WGS84",38.887763,-78.147164,20.3,336.7,0.41,"NEON.DOC.001024vD","2017-08-01T20:14Z","39","Woody individual","line launcher","N","13012","NEON.PLA.D02.SCBI.13012","QURU","Quercus rubra L.","Live",NA,"",NA,NA,NA,"HvxvVDlCk18b8byyzvtwUShRHIk63Dg7AcG3DtgFtvI=",29,NA,NA,"HvxvVDlCk18b8byyzvtwUShRHIk63Dg7kN9UQO2N4yA=","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","mIrGghHxedfm/1MtpfIUE9eCpbCrN7Ia7TzUmHA2lDo=","",NA
